Country Name,"Series Name","Time","Value"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1960",""
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1961",""
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1962",""
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1963",""
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1964",""
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1965",""
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1966",""
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1967",""
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1968",""
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1969",""
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1970","4.4320149"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1971","4.4"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1972","4.4"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1973","4.4351969"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1974","4.8"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1975","4.8"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1976","4.4"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1977","4.3"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1978","4.1"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1979","3.9"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1980","3.7"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1981","3.3"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1982","4.5"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1983","5"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1984","4.4195933"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1985","4.4195933"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1986","4.4195933"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1987","3.8080435"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1988","3.9"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1989","3.9"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1990","3.2938895"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1991","3.4"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1992","3.6"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1993","3.4"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1994","3.8"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1995","4.1"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1996","4.3"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1997","4.4"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1998","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","1999","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2000","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2001","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2002","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2003","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2004","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2005","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2006","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2007","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2008","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2009","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2010","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2011","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2012","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2013","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2014","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2015","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2016","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2017","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2018","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2019","4.4111256"
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2020",""
"Egypt, Arab Rep.","Adjusted savings: education expenditure (% of GNI)","2021",""
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1960",""
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1961",""
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1962",""
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1963",""
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1964",""
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1965","56.8273312776701"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1966","55.785760936888"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1967","50.5916813553541"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1968","45.8252715427473"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1969","41.767178966965"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1970","46.2594017118075"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1971","52.4176425575319"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1972","46.9013361882089"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1973","45.226023268631"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1974","48.3326331433478"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1975","38.5396046598858"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1976","28.5753914861971"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1977","29.9456999334802"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1978","22.3222275898412"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1979","23.5175908180466"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1980","15.5524268158094"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1981","15.5722657667"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1982","14.2082711983191"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1983","15.0403749595168"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1984","16.8561893652107"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1985","12.0919165751546"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1986","16.1002794912629"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1987","10.4115213926741"
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1988",""
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1989",""
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1990",""
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1991",""
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1992",""
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1993",""
"Egypt, Arab Rep.","Agricultural raw materials exports (% of merchandise exports)","1994","7.99218233490723"
