Finished,rank_eg,Q99,Q95,country,mil,sector,ResponseId,activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_7,activity_8,activity_9
TRUE,NA,NA,NA,Tunisia,No,NA,R_2wKBgZjyxcbeJpC,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,From 20 to 50,Tunisia,No,NA,R_2c15o5st8vWJNqh,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,State-owned enterprise,From 20 to 50,Tunisia,No,NA,R_6FNrcIswmOugO41,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Registered as a domestic company,Less than 5,Tunisia,No,NA,R_25QI8oXNosj9Udb,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,Yes,NA,R_WDnFovahyZV5yJH,0,0,0,1,59,20,20,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_2v8JDfXwJVDiwJf,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_a2ZmTSqrHZ5Chyx,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_3jcICWy4uYUi6GE,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_3Mnb217RnMNJ9r0,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_AvYUaplkKsCRjXj,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Romania,NA,NA,R_11ZVSI8h13JuSOf,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_3siSAba0P21LjDi,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Other,Less than 5,Tunisia,Yes,NA,R_1jUNqYpRpUARYX4,39,22,18,0,0,0,0,0,21
TRUE,NA,Other,From 101 to 250,Tunisia,No,NA,R_z0vjVB3ltB6jOMh,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Registered as a domestic company,From 20 to 50,Tunisia,Yes,NA,R_3sn08a3RxiSKwMm,10,70,0,10,0,0,0,10,0
TRUE,NA,Registered as a domestic company,1001 and over,Tunisia,No,NA,R_1IsihX7z8tttDE6,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,State-owned enterprise,1001 and over,Tunisia,Yes,NA,R_2wMnN2crXIlqs6f,20,0,0,0,0,0,0,40,40
TRUE,NA,Joint-venture with an ${e://Field/country_adj} state-owned enterprise,From 501 to 1000,Tunisia,No,NA,R_2wtdxt8mmGTNkQH,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_DTvsW3nzjIu88N3,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Unregistered domestic company,Less than 5,Tunisia,No,NA,R_cuuZ3sSUDk0ZbR7,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,100% foreign-owned enterprise,1001 and over,Tunisia,No,NA,R_tErDcDU5hGFhYNb,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,NA,NA,R_AbdigGelyFONXcl,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,State-owned enterprise,From 51 to 100,Tunisia,No,NA,R_2BbTADU7xfDM4nY,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Registered as a domestic company,From 501 to 1000,Tunisia,No,NA,R_tFHoDv38ik5xT57,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Registered as a domestic company,1001 and over,Tunisia,No,NA,R_2qjDqhGGYlyiRQg,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Algeria,NA,NA,R_2SviLJg559z34F1,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Egypt,No,NA,R_1KvEPqODFEl6DzA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Albania,NA,NA,R_3p43HWpKrrsBhjz,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Registered as a domestic company,1001 and over,Tunisia,No,NA,R_1mXFjZWJ7fISY8s,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_1GOZWfhWqO4uCHB,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Algeria,NA,NA,R_21Aqviavqtmjw5r,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Other,From 251 to 500,Tunisia,No,NA,R_vGOH0wNOWiIADAJ,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Other,From 101 to 250,Tunisia,No,NA,R_AhyQYNo0mcJfbVf,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,State-owned enterprise,From 101 to 250,Tunisia,No,NA,R_UAdLOFmbR6nKnoR,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_REx2pySq7tKVCaB,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_3HppKXSLdjNrExC,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_3Mm451acxgKXwja,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Unregistered domestic company,From 10 to 19,Tunisia,No,NA,R_ROG62IfG11RRXvH,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,State-owned enterprise,1001 and over,Tunisia,No,NA,R_1CJvOqsmElnnRat,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_RlTZIRhPulwY4o1,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Registered as a domestic company,From 20 to 50,Tunisia,No,NA,R_1NlSO5p3N0ThDxq,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,NA,NA,R_C8GhXgkYoycfGQp,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,NA,NA,R_1Dukjipwp8KEPs1,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Joint-venture with an ${e://Field/country_adj}  private enterprise,From 51 to 100,Tunisia,No,NA,R_2e5wGLPJv4sXG4Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,State-owned enterprise,1001 and over,Tunisia,No,NA,R_2ZNNpTt4LYYDYcn,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Zimbabwe,NA,NA,R_3L7raxbGgf7iNPl,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,Yes,NA,R_wWVfc8FxTcVOthf,7,0,14,13,7,34,0,18,7
TRUE,NA,NA,NA,Tunisia,NA,NA,R_2CZVSa1km7B0CNf,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,NA,NA,R_1ezSM50umJgCE0J,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_2tz2PHcUIHJaAPg,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,Yes,NA,R_2rSWyLMgnMaENsA,24,22,0,0,26,18,0,9,1
TRUE,NA,NA,NA,Tunisia,Yes,NA,R_2TRAwt6cYaos9Rr,5,16,4,9,16,17,0,26,7
