Q95,Q99,Q101_1,country,Finished
NA,NA,NA,Tunisia,TRUE
From 20 to 50,NA,NA,Tunisia,TRUE
From 20 to 50,State-owned enterprise,NA,Tunisia,TRUE
Less than 5,Registered as a domestic company,10,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Romania,TRUE
NA,NA,NA,Tunisia,TRUE
Less than 5,Other,8,Tunisia,TRUE
From 101 to 250,Other,3,Tunisia,TRUE
From 20 to 50,Registered as a domestic company,7,Tunisia,TRUE
1001 and over,Registered as a domestic company,7,Tunisia,TRUE
1001 and over,State-owned enterprise,9,Tunisia,TRUE
From 501 to 1000,Joint-venture with an ${e://Field/country_adj} state-owned enterprise,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
Less than 5,Unregistered domestic company,10,Tunisia,TRUE
1001 and over,100% foreign-owned enterprise,10,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 51 to 100,State-owned enterprise,7,Tunisia,TRUE
From 501 to 1000,Registered as a domestic company,10,Tunisia,TRUE
1001 and over,Registered as a domestic company,7,Tunisia,TRUE
NA,NA,NA,Algeria,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Albania,TRUE
1001 and over,Registered as a domestic company,3,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Algeria,TRUE
From 251 to 500,Other,NA,Tunisia,TRUE
From 101 to 250,Other,9,Tunisia,TRUE
From 101 to 250,State-owned enterprise,4,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 10 to 19,Unregistered domestic company,5,Tunisia,TRUE
1001 and over,State-owned enterprise,5,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 20 to 50,Registered as a domestic company,5,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 51 to 100,Joint-venture with an ${e://Field/country_adj}  private enterprise,2,Tunisia,TRUE
1001 and over,State-owned enterprise,7,Tunisia,TRUE
NA,NA,NA,Zimbabwe,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 5 to 9,Registered as a domestic company,7,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 10 to 19,State-owned enterprise,5,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 51 to 100,Other,4,Tunisia,TRUE
NA,NA,NA,Côte d'Ivoire,TRUE
From 5 to 9,Other,3,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Turkey,TRUE
NA,NA,NA,Mali,TRUE
NA,NA,NA,Djibouti,TRUE
From 10 to 19,State-owned enterprise,8,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Algeria,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
Less than 5,100% foreign-owned enterprise,5,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 5 to 9,Joint-venture with an ${e://Field/country_adj}  private enterprise,3,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 101 to 250,Registered as a domestic company,5,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 251 to 500,Unregistered domestic company,6,Tunisia,TRUE
From 51 to 100,Registered as a domestic company,7,Tunisia,TRUE
NA,NA,NA,France,TRUE
NA,NA,NA,Tunisia,TRUE
From 10 to 19,Registered as a domestic company,7,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Democratic Republic of the Congo,TRUE
Less than 5,Unregistered domestic company,9,Tunisia,TRUE
Less than 5,Joint-venture with an ${e://Field/country_adj}  private enterprise,5,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 51 to 100,100% foreign-owned enterprise,5,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 20 to 50,Registered as a domestic company,9,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,France,TRUE
NA,NA,NA,Israel,TRUE
NA,NA,NA,Tunisia,TRUE
1001 and over,100% foreign-owned enterprise,6,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 10 to 19,100% foreign-owned enterprise,9,Tunisia,TRUE
From 51 to 100,100% foreign-owned enterprise,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Algeria,TRUE
NA,NA,NA,Tunisia,TRUE
From 501 to 1000,Registered as a domestic company,1,Egypt,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
From 20 to 50,Other,5,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Brazil,TRUE
NA,NA,NA,Egypt,TRUE
From 251 to 500,Registered as a domestic company,1,Egypt,TRUE
NA,NA,NA,Turkey,TRUE
Less than 5,Other,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
From 251 to 500,State-owned enterprise,10,Egypt,TRUE
From 10 to 19,Registered as a domestic company,8,Egypt,TRUE
1001 and over,Joint-venture with an ${e://Field/country_adj} state-owned enterprise,2,Egypt,TRUE
NA,NA,NA,United Arab Emirates,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
From 20 to 50,Registered as a domestic company,6,Egypt,TRUE
1001 and over,State-owned enterprise,2,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
From 20 to 50,Registered as a domestic company,7,Egypt,TRUE
1001 and over,Joint-venture with an ${e://Field/country_adj} state-owned enterprise,10,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
1001 and over,State-owned enterprise,1,Egypt,TRUE
NA,NA,NA,Brazil,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
From 251 to 500,100% foreign-owned enterprise,6,Egypt,TRUE
NA,NA,NA,Ecuador,TRUE
1001 and over,Joint-venture with an ${e://Field/country_adj} state-owned enterprise,5,Egypt,TRUE
From 20 to 50,Registered as a domestic company,7,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
From 10 to 19,Registered as a domestic company,10,Egypt,TRUE
From 20 to 50,Registered as a domestic company,2,Egypt,TRUE
NA,NA,NA,Tunisia,TRUE
1001 and over,State-owned enterprise,1,Egypt,TRUE
From 5 to 9,Other,8,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
From 251 to 500,Joint-venture with an ${e://Field/country_adj}  private enterprise,9,Egypt,TRUE
1001 and over,State-owned enterprise,10,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Angola,TRUE
NA,NA,NA,Egypt,TRUE
