country,age
Algeria,30-34
Tunisia,35-44
Tunisia,55-64
Algeria,30-34
Tunisia,35-44
Egypt,30-34
Algeria,30-34
Egypt,25-29
Algeria,55-64
Tunisia,25-29
Egypt,55-64
Algeria,30-34
Egypt,45-54
Egypt,45-54
Egypt,45-54
Algeria,25-29
Algeria,35-44
Egypt,25-29
Tunisia,25-29
Egypt,35-44
Algeria,30-34
Egypt,35-44
Algeria,30-34
Egypt,30-34
Egypt,30-34
Egypt,35-44
Egypt,30-34
Algeria,30-34
Egypt,35-44
Algeria,30-34
Algeria,35-44
Tunisia,25-29
Egypt,30-34
Algeria,25-29
Algeria,25-29
Tunisia,30-34
Algeria,45-54
Egypt,30-34
Tunisia,35-44
Egypt,45-54
Algeria,35-44
Egypt,30-34
Algeria,35-44
Algeria,30-34
Algeria,30-34
Algeria,35-44
Egypt,45-54
Egypt,45-54
Algeria,25-29
Algeria,30-34
Tunisia,30-34
Egypt,30-34
Algeria,45-54
Tunisia,35-44
Egypt,35-44
Egypt,35-44
Egypt,35-44
Egypt,35-44
Algeria,55-64
Algeria,35-44
Algeria,25-29
Tunisia,25-29
Egypt,35-44
Tunisia,25-29
Egypt,30-34
Algeria,35-44
Tunisia,55-64
Tunisia,45-54
Algeria,25-29
Egypt,30-34
Algeria,30-34
Algeria,25-29
Egypt,35-44
Egypt,30-34
Algeria,30-34
Egypt,35-44
Algeria,45-54
Algeria,35-44
Algeria,35-44
Egypt,45-54
Algeria,30-34
Algeria,45-54
Tunisia,25-29
Algeria,30-34
Algeria,35-44
Algeria,25-29
Egypt,25-29
Algeria,30-34
Egypt,35-44
Egypt,35-44
Tunisia,30-34
Egypt,35-44
Algeria,30-34
Egypt,35-44
Egypt,30-34
Algeria,25-29
Egypt,25-29
Egypt,30-34
Algeria,35-44
Egypt,45-54
Algeria,45-54
Egypt,35-44
Tunisia,30-34
Egypt,45-54
Algeria,30-34
Tunisia,30-34
Tunisia,30-34
Egypt,30-34
Egypt,30-34
Tunisia,35-44
Algeria,30-34
Tunisia,35-44
Egypt,45-54
Egypt,30-34
Algeria,45-54
Egypt,25-29
Egypt,35-44
Egypt,55-64
Tunisia,55-64
Tunisia,30-34
Egypt,30-34
Tunisia,35-44
Tunisia,45-54
Egypt,45-54
Egypt,25-29
Algeria,35-44
Tunisia,45-54
Egypt,35-44
Algeria,35-44
Algeria,35-44
Egypt,25-29
Egypt,30-34
Algeria,35-44
Egypt,45-54
Algeria,35-44
Algeria,25-29
Egypt,25-29
Egypt,35-44
Tunisia,45-54
Tunisia,25-29
Algeria,35-44
Egypt,45-54
Egypt,45-54
Algeria,30-34
Algeria,55-64
Algeria,65+
Egypt,35-44
Algeria,45-54
Tunisia,35-44
Tunisia,30-34
Algeria,35-44
Egypt,45-54
Algeria,45-54
Algeria,45-54
Tunisia,30-34
Algeria,45-54
Algeria,25-29
Algeria,55-64
Algeria,45-54
Egypt,55-64
Tunisia,45-54
Algeria,25-29
Tunisia,35-44
Tunisia,25-29
Egypt,35-44
