Number,Company Name,Year,Revenue,Source,Discrepancy,Classement having discrepancy,Notes,Conglomerate,Public
1,STE TNNE IND RAFFINAGE- STIR,2018,4988000,2020,NA,NA,NA,0,1
NA,NA,2017,3672000,2020,NA,NA,NA,NA,NA
NA,NA,2014,4496000,2016,NA,NA,NA,NA,NA
NA,NA,2013,4209000,2016,NA,NA,NA,NA,NA
NA,NA,2012,3930000,2015,NA,NA,NA,NA,NA
NA,NA,2011,4073096,2014,NA,NA,NA,NA,NA
NA,NA,2010,3299031,2012,3001000,2011,NA,NA,NA
NA,NA,2009,2776000,2011,2770000,2010,NA,NA,NA
NA,NA,2008,3188000,2010,3189000,2009,NA,NA,NA
NA,NA,2007,2721000,2009,2720900,2008,NA,NA,NA
NA,NA,2006,2298700,2008,NA,NA,NA,NA,NA
2,STE TNNE ELECTRICITE GAZ- STEG,2018,4518000,2020,NA,NA,NA,0,1
NA,NA,2017,4038500,2020,NA,NA,NA,NA,NA
NA,NA,2014,3736000,2016,NA,NA,NA,NA,NA
NA,NA,2013,2968600,2016,NA,NA,NA,NA,NA
NA,NA,2012,2669400,2015,NA,NA,NA,NA,NA
NA,NA,2011,2408100,2014,2740800,2012,NA,NA,NA
NA,NA,2010,2623900,2012,NA,NA,NA,NA,NA
NA,NA,2009,2355000,2011,2354000,2010,NA,NA,NA
NA,NA,2008,2143000,2010,2160000,2009,NA,NA,NA
NA,NA,2007,1646000,2009,1632400,2008,NA,NA,NA
NA,NA,2006,1493600,2008,NA,NA,NA,NA,NA
3,TUNISIE TELECOM,2018,2304168,2020,NA,NA,NA,0,1
NA,NA,2017,1965000,2020,NA,NA,NA,NA,NA
NA,NA,2014,1352000,2016,NA,NA,NA,NA,NA
NA,NA,2013,1400000,2016,NA,NA,NA,NA,NA
NA,NA,2012,1630000,2015,NA,NA,NA,NA,NA
NA,NA,2011,1619000,2014,NA,NA,NA,NA,NA
NA,NA,2010,1300000,2012,1400000,2011,NA,NA,NA
NA,NA,2009,1375037,2011,NA,NA,NA,NA,NA
NA,NA,2008,1343028,2010,NA,NA,NA,NA,NA
NA,NA,2007,1287379,2009,1193769,2008,NA,NA,NA
NA,NA,2006,1134510,2008,NA,NA,NA,NA,NA
4,SOCIETE NATIONALE DE DISTRIBUTION DE PETROLE SNDP,2018,2030000,2020,NA,NA,"This company was named ""STE NAT DISTRIBUTION PETROLE- AGIL"" in the classement of 2019 and previous ones.",0,1
NA,NA,2017,1775000,2020,NA,NA,NA,NA,NA
NA,NA,2014,1817180,2016,NA,NA,NA,NA,NA
NA,NA,2013,1672515,2016,1524000,2015 and 2013,NA,NA,NA
NA,NA,2012,1355000,2015,1490433,2014,NA,NA,NA
NA,NA,2011,1417938,2014,NA,NA,NA,NA,NA
NA,NA,2010,1388003,2012,NA,NA,NA,NA,NA
NA,NA,2009,1269807,2011,1270000,2010,NA,NA,NA
NA,NA,2008,1392528,2010,NA,NA,NA,NA,NA
NA,NA,2007,1262782,2009,NA,NA,NA,NA,NA
NA,NA,2006,1159533,2008,NA,NA,NA,NA,NA
5,ENTREPRISE TNNE ACTIVITE PETROLIERES- ETAP,2018,1712934,2020,NA,NA,NA,0,1
NA,NA,2017,1251766,2020,NA,NA,NA,NA,NA
NA,NA,2014,2152719,2016,NA,NA,NA,NA,NA
NA,NA,2013,2288365,2016,NA,NA,NA,NA,NA
NA,NA,2012,2524805,2015,NA,NA,NA,NA,NA
NA,NA,2011,1928522,2014,NA,NA,NA,NA,NA
NA,NA,2010,1600457,2012,NA,NA,NA,NA,NA
NA,NA,2009,1000770,2011,NA,NA,NA,NA,NA
NA,NA,2008,1420000,2010,NA,NA,NA,NA,NA
